Obs_num,Long,Lat,Country,start_date,end_date,land_cover,land_use,textures,textures_gen,texture_class,soil_other,Annual_precipitation,Precip_intensity,Slope_gradient,method,process,scale,study_area_ha,obs_count,Rslt_Mean,Rslt_Med,Rslt_Net,Rslt_Vol,Rslt_Vis,Source_ref,Collector_Ref,Link
1555,-64.31,-42.969,Argentina,NA,NA,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,NA,NA,NA,NA,NA,NA,28.8,Chartier et al. 2009,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.039
1556,-64.31,-42.969,Argentina,NA,NA,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,NA,NA,NA,NA,NA,NA,38.4,Chartier et al. 2009,"_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.040
1778,141.803,-31.181,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,Plot,0.0045,NA,NA,NA,NA,NA,30.6,"Fanning, 1994","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.262
1855,148.806,-33.741,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.339
1856,148.729,-33.635,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.6,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.340
1857,148.788,-33.606,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,1.2,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.341
1858,148.89,-33.635,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.2,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.342
1859,148.919,-33.781,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.8,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.343
1860,148.788,-33.854,Australia,NA,NA,Improved Grassland,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.344
1861,148.715,-33.766,Australia,NA,NA,Arable,NA,NA,NA,NA,NA,NA,NA,NA,measurement,NA,NA,0.01,NA,NA,NA,NA,NA,0.7,"Erskine and Saynor, 1996","_Garcia-Ruiz et al. (2015) Geomorphology, 239",https://doi.org/10.1016/j.geomorph.2015.03.345
