Easting,Northing,Site_ID,Site_Name,County_Dis,Soil_Assoc,Soil_series,S_Subgrp1,S_Subgrp2,Soil_Text,Ersn_Risk,Terrain,Mean_grad_.,Min_grad_.,Max_grad_.,Slope_leng,Precip_mm,Precip_oth,Land_cover,Land_use,Crop_rotat,Land_Other,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Scale,Stdy_Meth1,Stdy_Meth2,Stdy_Area,Stdy_num.field,Stdy_Othr,Rslt_Mean,Rslt_Med,Rslt_Min,Rslt_Max,Rslt_Vol,Rslt_Net,Rslt_Gross,Rslt_num.flds,Rslt_Analysis,Pathway_1,Pathway_2,Observ_1,Observ_2,Observ_3,Observ_4,Observ_5,Reference,Link,Note_a,Note_b,Note_b_1,Long,Lat
497500,236500,1,NA,Bedfordshire,554a,FRILFORD,5.54,Argillic brown sands,Loamy sand / Sandy loam,4,NA,NA,NA,16,NA,NA,97 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,82,NA,NA,0,0,0,0,NA,NA,NA,NA,0,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-0.58060001,52.01836646
525500,107500,2,NA,West Sussex,343h,ANDOVER 1,3.43,Brown rendzinas,Silty clay loam,3,NA,NA,NA,25,NA,NA,86 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,NA,42,NA,NA,0.08,0,143,NA,NA,NA,12,10.3,Water,Rills and gullies,Large catchment area,Slope gradient,Ephemeral gullies,Runoff from adjacent fields,11 of the 12 eroded fields were cropped with winter cereals,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-0.218451537,50.85340983
297500,815500,3,NA,Devon,551a,BRIDGNORTH,5.51,Typical brown sands,Loamy sand / Sandy loam,5,NA,NA,NA,18,NA,NA,104 (a),Arable,NA,NA,NA,1990,1991,1,Catchment,Volumetric survey,NA,62,NA,NA,8.5,6.3,1.3,20,NA,NA,NA,4,8.5,Water,Rills and gullies,Insufficient crop cover,3 of the 4 eroded fields were cropped with winter cereals,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-3.698963776,57.21873637
610500,337500,4,NA,Norfolk,NA,Newport / Wick,5.51 / 5.41,Typical brown sands / Typical brown earths,Loamy sand / Sandy loam,3,NA,NA,NA,9,NA,NA,102 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,57,NA,NA,0,0,0,0,NA,NA,NA,NA,0,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,NA,NA,NA,1.127830371,52.8937163
539500,109500,5,NA,East Sussex,343h,ANDOVER 1,3.43,Brown rendzinas,Silty clay loam,3,NA,NA,NA,25,NA,NA,86 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,179,38,NA,3.4,0.62,0,17,NA,NA,NA,18,3.4,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,NA,NA,NA,-0.018919221,50.86817989
376500,290500,6,NA,Shropshire,NA,CUCKNEY 1,5.51,Typical brown sands,Loamy sand / Sandy loam,5,NA,NA,NA,27,NA,NA,83 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,49,40,NA,0.72,<0.01,0,4,NA,NA,NA,11,0.72,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-2.347697032,52.51187743
363500,224500,7,NA,Herefordshire,NA,Eardiston / Hodnet,5.41,Typical brown earths,Sandy loam,3,NA,NA,NA,45,NA,NA,91 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,110,27,NA,0.8,0.42,0.03,2.3,NA,NA,NA,8,0.8,Water,Rills,Poor crop cover,5 of the 8 eroded fields were cropped with winter cereals,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-2.532100596,51.91782117
347500,203500,8,NA,Gwent,NA,Eardiston,5.41,Typical brown earths,Sandy loam / Sandy silt loam,3,NA,NA,NA,23,NA,NA,84 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,20,28,NA,3.9,0.47,0,43,NA,NA,NA,24,3.9,Water,Rills,Tramlines and wheelings running down ephemeral gullies,90% of eroded fields were cropped with winter cereals,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-2.761523232,51.72774574
352500,210500,9,NA,Gwent,541a,BEARSTED 1,5.41,Typical brown earths,Sandy silt loam,1 (a),NA,NA,NA,23,NA,NA,84 (b),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,40,NA,NA,11,0.34,0,47,NA,NA,NA,NA,11,Water,Rills and gullies,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Locally risk of erosion greater,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,-2.690095632,51.79112556
307500,85500,10,NA,Devon,551a,BRIDGNORTH,5.51,Typical brown sands,Loamy sand / Sandy loam,5,NA,NA,NA,25,NA,NA,104 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,29,NA,NA,2.2,0.74,0,5.7,NA,NA,NA,NA,2.2,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-3.310089937,50.66180081
